operator,offer_id,offer_name,category,data_gb,minutes,sms,validity_days,speed_cap_mbps,roaming,ussd_code,auto_renewal,source_page,price_per_gb,price_per_minute,price_per_sms,price_bdt
Banglalink,TK127USSDREACTBTL30D,Banglalink Special Reactivation Pack 200 Minutes at only Tk. 127!,Bondho SIM,0.0,200.0,0.0,30.0,0.0,No,*121*200#,Unknown,offers/prepaid/bondho-sim,0,0.64,0,127.0
Banglalink,TK229USSDREACTBTL30D,Banglalink Special Reactivation Pack 25GB Internet at only Tk. 229!,Bondho SIM,25.0,0.0,0.0,30.0,0.0,No,*121*200#,Unknown,offers/prepaid/bondho-sim,9.16,0,0,229.0
Banglalink,TK298USSDREACTMIX30D,Banglalink Special Reactivation Bundle 30GB + 300 Minutes at only Tk. 298!,Bondho SIM,30.0,300.0,0.0,30.0,0.0,No,*121*200#,Unknown,offers/prepaid/bondho-sim,9.93,0.99,0,298.0
Banglalink,EMERGENCYBALANCE,Banglalink Emergency Main Balance,Others,0.0,0.0,0.0,0.0,0.0,No,Unknown,Unknown,offers/prepaid/others,0,0,0,0.0
Banglalink,GIFTPACK,Gift Internet Packs to loved ones easily through your Main Account Balance,Others,0.0,0.0,0.0,0.0,0.0,No,Unknown,Unknown,offers/prepaid/others,0,0,0,0.0
Banglalink,BANGLALINKESIM,eSIM,Others,0.0,0.0,0.0,0.0,0.0,No,Unknown,Unknown,offers/prepaid/others,0,0,0,0.0
Banglalink,BL4CORE,Banglalink is now a family of 4 crore people!,Others,0.0,0.0,0.0,0.0,0.0,No,Unknown,Unknown,offers/prepaid/others,0,0,0,0.0
Banglalink,BALANCE_LAPSE,Main Account Balance Lapse Period,Others,0.0,0.0,0.0,0.0,0.0,No,Unknown,Unknown,offers/prepaid/others,0,0,0,0.0
Banglalink,SCRATCHCARD,Minute Scratch Cards,Others,0.0,0.0,0.0,0.0,0.0,No,Unknown,Unknown,offers/prepaid/others,0,0,0,0.0
Banglalink,4GINSTALMENT,Get 4G Smartphone on INSTALMENT without Credit Card From Banglalink Centers,Others,0.0,0.0,0.0,0.0,0.0,No,Unknown,Unknown,offers/prepaid/others,0,0,0,0.0
Banglalink,BL-ROAM-001,Roaming pack 300MB (1 days),Roaming,0.293,0.0,0.0,1.0,0.0,Yes,Unknown,Unknown,roaming-offers/prepaid-postpaid-roaming,662.12,0,0,194.0
Banglalink,BL-ROAM-002,Roaming pack 1GB + 10 min (1 days),Roaming,1.0,10.0,0.0,1.0,0.0,Yes,Unknown,Unknown,roaming-offers/prepaid-postpaid-roaming,834.0,83.4,0,834.0
Banglalink,BL-ROAM-003,Roaming pack 5 min (3 days),Roaming,0.0,5.0,0.0,3.0,0.0,Yes,Unknown,Unknown,roaming-offers/prepaid-postpaid-roaming,0,40.8,0,204.0
Banglalink,BL-ROAM-004,Roaming pack 2GB + 10 min (3 days),Roaming,2.0,10.0,0.0,3.0,0.0,Yes,Unknown,Unknown,roaming-offers/prepaid-postpaid-roaming,492.0,98.4,0,984.0
Banglalink,BL-ROAM-005,Roaming pack 4GB + 20 min (7 days),Roaming,4.0,20.0,0.0,7.0,0.0,Yes,Unknown,Unknown,roaming-offers/prepaid-postpaid-roaming,496.0,99.2,0,1984.0
Banglalink,BL-ROAM-006,Roaming pack 5GB + 50 min (15 days),Roaming,5.0,50.0,0.0,15.0,0.0,Yes,Unknown,Unknown,roaming-offers/prepaid-postpaid-roaming,496.8,49.68,0,2484.0
Banglalink,BL-ROAM-007,Roaming pack 10GB + 50 min (30 days),Roaming,10.0,50.0,0.0,30.0,0.0,Yes,Unknown,Unknown,roaming-offers/prepaid-postpaid-roaming,399.4,79.88,0,3994.0
Banglalink,BL-ROAM-008,Roaming pack 15GB + 100 min (30 days),Roaming,15.0,100.0,0.0,30.0,0.0,Yes,Unknown,Unknown,roaming-offers/prepaid-postpaid-roaming,666.27,99.94,0,9994.0
Banglalink,BL-ROAM-009,Roaming pack 5GB + 10 min (7 days),Roaming,5.0,10.0,0.0,7.0,0.0,Yes,Unknown,Unknown,roaming-offers/holiday-roaming,238.8,119.4,0,1194.0
Banglalink,BL-ROAM-010,Roaming pack 10GB + 10 min (10 days),Roaming,10.0,10.0,0.0,10.0,0.0,Yes,Unknown,Unknown,roaming-offers/holiday-roaming,169.4,169.4,0,1694.0
